protocol,method,held_out_group,stress_test_note,accuracy,macro_recall,macro_f1,n_test
board_grouped,frequency_logistic_regression,C01,none,1.0,1.0,1.0,2733
board_grouped,frequency_random_forest,C01,none,0.9915843395536041,0.9192982456140351,0.9234618488855777,2733
board_grouped,frequency_bin_majority_diagnostic,C01,none,0.9608488840102452,0.8073964987410536,0.7762836329085137,2733
board_grouped,frequency_logistic_regression,C02,none,0.9918068132815869,0.973049645390071,0.9741399193870677,2319
board_grouped,frequency_random_forest,C02,none,0.9831824062095731,0.9446808510638298,0.945804917287448,2319
board_grouped,frequency_bin_majority_diagnostic,C02,none,0.9383354894351014,0.7969436270239225,0.8302761614591775,2319
board_grouped,frequency_logistic_regression,C03,none,0.9932803909590715,0.9775510204081632,0.9791285162713734,1637
board_grouped,frequency_random_forest,C03,none,0.9920586438607208,0.9734693877551021,0.9752660339373023,1637
board_grouped,frequency_bin_majority_diagnostic,C03,none,0.9346365302382407,0.790262633119776,0.8279158919655007,1637
board_grouped,frequency_logistic_regression,W01,none,0.9921455146754857,0.9794594594594596,0.9789861216134674,2419
board_grouped,frequency_random_forest,W01,none,0.9925589086399339,0.9805405405405405,0.9800953079178886,2419
board_grouped,frequency_bin_majority_diagnostic,W01,none,0.9942124844977264,0.9848648648648648,0.9913743751869099,2419
board_grouped,frequency_logistic_regression,W02,none,0.9852320675105485,0.9585798816568047,0.9549541161012653,2370
board_grouped,frequency_random_forest,W02,none,0.9928270042194093,0.9798816568047337,0.9781124186253507,2370
board_grouped,frequency_bin_majority_diagnostic,W02,none,0.979746835443038,0.9404950412534377,0.9586984602758302,2370
board_grouped,frequency_logistic_regression,W03,none,0.9897680763983628,0.953125,0.9619570745600651,1466
board_grouped,frequency_random_forest,W03,none,1.0,1.0,1.0,1466
board_grouped,frequency_bin_majority_diagnostic,W03,none,0.9924965893587995,0.965625,0.980197942975973,1466
